"geo_code","domain_supermarket_proximity","domain_supermarket_accessibility","domain_ecommerce_access","domain_socio_demographic","domain_nonsupermarket_proximity","domain_food_for_families","domain_fuel_poverty","country","country_denominator","combined","pp_dec_domain_supermarket_proximity","pp_dec_domain_supermarket_accessibility","pp_dec_domain_ecommerce_access","pp_dec_domain_socio_demographic","pp_dec_domain_nonsupermarket_proximity","pp_dec_domain_food_for_families","pp_dec_domain_fuel_poverty","pp_dec_combined"
"E01032934",27026,19990,18356,22548,8766,22175,25275,"E",32843,22204,9,7,6,7,3,7,8,7
"E01022324",15919,29985,8458,6437,14252,17839,9445,"E",32843,9819,5,10,3,2,5,6,3,3
"E01022299",26070,21260,16854,22058,12508,20270,25426,"E",32843,21509,8,7,6,7,4,7,8,7
"E01022297",21295,24628,26601,31388,17975,12665,30110,"E",32843,30487,7,8,9,10,6,4,10,10
"E01022336",18755,20886,18356,23376,5879,22043,23396,"E",32843,18187,6,7,6,8,2,7,8,6
"E01022284",30322,31604,8458,11535,22714,14264,5972,"E",32843,21751,10,10,3,4,7,5,2,7
"E01022290",28502,30680,8458,6330,29701,10439,4561,"E",32843,20195,9,10,3,2,10,4,2,7
"E01032936",19525,27207,26601,17753,9914,21431,20494,"E",32843,20996,6,9,9,6,4,7,7,7
"E01022333",6536,30077,955,1920,13057,18134,2988,"E",32843,4979,2,10,1,1,4,6,1,2
"E01032937",32150,32712,6523,2070,32686,7203,4498,"E",32843,30453,10,10,2,1,10,3,2,10
"E01022304",17484,29006,16234,21239,12850,19184,26573,"E",32843,22281,6,9,5,7,4,6,9,7
"E01022326",28177,32327,18356,12943,24287,14357,6670,"E",32843,24325,9,10,6,4,8,5,3,8
"E01022308",28889,31952,16854,24278,17425,17581,27912,"E",32843,29880,9,10,6,8,6,6,9,10
"E01022282",13754,24513,26601,31034,9216,16966,31681,"E",32843,30541,5,8,9,10,3,6,10,10
"E01022312",24734,21243,26601,14958,28658,9293,17501,"E",32843,20896,8,7,9,5,9,3,6,7
"E01022341",29592,21293,26601,20681,11007,20728,26615,"E",32843,26371,10,7,9,7,4,7,9,9
"E01032935",27750,25085,26601,23399,12444,20888,28753,"E",32843,28256,9,8,9,8,4,7,9,9
"E01022289",32043,31818,955,2983,31820,8954,3499,"E",32843,27066,10,10,1,1,10,3,2,9
"E01022291",27827,32452,8458,2726,31019,11377,2065,"E",32843,24320,9,10,3,1,10,4,1,8
"E01022277",23447,25111,18356,20132,6807,18932,32203,"E",32843,27732,8,8,6,7,3,6,10,9
"E01022316",14853,22346,18356,27549,10012,16724,30559,"E",32843,25029,5,7,6,9,4,6,10,8
"E01022305",21672,31187,16854,23377,13114,18543,27070,"E",32843,26372,7,10,6,8,4,6,9,9
"E01022348",27761,20161,26601,17713,28143,15078,22749,"E",32843,25236,9,7,9,6,9,5,7,8
"E01022334",19461,24651,8458,15396,11143,16718,21915,"E",32843,12201,6,8,3,5,4,6,7,4
"E01022338",20587,25154,26601,17971,8353,22290,20097,"E",32843,20280,7,8,9,6,3,7,7,7
"E01022311",30992,32213,8458,2556,31502,4746,5154,"E",32843,26140,10,10,3,1,10,2,2,8
"E01022344",19792,28845,8458,15138,15016,18373,13218,"E",32843,13338,7,9,3,5,5,6,5,5
"E01022298",20342,26495,18356,24931,15898,12848,23511,"E",32843,20630,7,9,6,8,5,4,8,7
"E01022313",6607,21174,18356,25980,13928,15227,30138,"E",32843,22178,3,7,6,8,5,5,10,7
"E01022279",18075,27692,26601,25885,10853,16890,27817,"E",32843,26253,6,9,9,8,4,6,9,8
"E01022292",29242,30998,8458,6112,31993,11294,2623,"E",32843,24388,9,10,3,2,10,4,1,8
"E01022288",28060,31404,8458,5867,25432,12329,7392,"E",32843,18976,9,10,3,2,8,4,3,6
"E01032932",31571,29161,8458,5429,31010,11189,5754,"E",32843,23819,10,9,3,2,10,4,2,8
"E01022345",30112,28207,16854,21036,13941,19543,26519,"E",32843,26713,10,9,6,7,5,6,9,9
"E01022340",22776,18197,26601,25491,4211,21578,28294,"E",32843,25219,7,6,9,8,2,7,9,8
"E01022287",21022,25561,18356,18225,16957,14446,19874,"E",32843,16124,7,8,6,6,6,5,7,5
"E01022347",31971,32271,6523,2755,32400,9458,1354,"E",32843,28864,10,10,2,1,10,3,1,9
"E01022302",17982,31924,16854,19251,17156,19475,19346,"E",32843,23230,6,10,6,6,6,6,6,8
"E01022319",10994,30108,955,1047,11557,19041,1478,"E",32843,5316,4,10,1,1,4,6,1,2
"E01022315",17371,28261,18356,27773,15699,15483,31827,"E",32843,29343,6,9,6,9,5,5,10,9
"E01022293",26776,29895,6523,7524,31238,12574,3853,"E",32843,20471,9,10,2,3,10,4,2,7
"E01022325",13664,23774,8458,14002,10521,17079,19352,"E",32843,8672,5,8,3,5,4,6,6,3
"E01022278",23827,25588,18356,25718,7967,17793,27343,"E",32843,23861,8,8,6,8,3,6,9,8
"E01022310",26019,29800,18356,12283,28451,10502,12274,"E",32843,21118,8,10,6,4,9,4,4,7
"E01022321",25514,30401,18356,16093,17945,15376,14752,"E",32843,20099,8,10,6,5,6,5,5,7
"E01032933",31030,28888,29847,22795,24210,20846,25737,"E",32843,31197,10,9,10,7,8,7,8,10
"E01022332",31849,29693,6523,5903,31088,13082,3121,"E",32843,24713,10,10,2,2,10,4,1,8
"E01022295",16836,24930,16854,22419,9500,16419,26485,"E",32843,18837,6,8,6,7,3,5,9,6
"E01022283",24856,23152,23134,27178,11695,17210,30984,"E",32843,28470,8,8,8,9,4,6,10,9
"E01022301",13437,24711,8458,12756,13053,19343,13432,"E",32843,8072,5,8,3,4,4,6,5,3
"E01022296",27299,29972,18356,14135,17728,14791,11468,"E",32843,18942,9,10,6,5,6,5,4,6
"E01022307",16405,26973,26601,31368,7067,18214,32590,"E",32843,31946,5,9,9,10,3,6,10,10
"E01022346",24234,28663,8458,4727,14698,19643,4613,"E",32843,10547,8,9,3,2,5,6,2,4
"E01022331",21138,28482,18356,12634,20024,15359,9288,"E",32843,14198,7,9,6,4,7,5,3,5
"E01022281",15517,21399,26601,28548,4349,19368,31695,"E",32843,28897,5,7,9,9,2,6,10,9
"E01022314",5286,24785,16854,26433,10153,12759,30747,"E",32843,22909,2,8,6,9,4,4,10,7
"E01022294",23962,31089,3143,9683,25478,13485,4549,"E",32843,15642,8,10,1,3,8,5,2,5
"E01022322",15099,26019,8458,5268,9887,16946,9256,"E",32843,5119,5,8,3,2,4,6,3,2
"E01022309",26711,27310,18356,13098,28690,8100,18780,"E",32843,21219,9,9,6,4,9,3,6,7
"E01022328",24470,28905,8458,7785,24196,14053,6806,"E",32843,13226,8,9,3,3,8,5,3,5
"E01022323",12179,26017,8458,4922,16205,16004,1898,"E",32843,4175,4,8,3,2,5,5,1,2
"E01022320",5404,24652,8458,10161,7789,19502,11016,"E",32843,4795,2,8,3,4,3,6,4,2
"E01022327",18377,27323,18356,16635,18938,15317,12927,"E",32843,14213,6,9,6,6,6,5,4,5
"E01022300",15842,27376,8458,22231,12247,20466,24740,"E",32843,18993,5,9,3,7,4,7,8,6
"E01022342",6220,11074,26601,31327,2129,21929,30452,"E",32843,28106,2,4,9,10,1,7,10,9
"E01022317",26853,30657,18356,30173,16712,15123,30016,"E",32843,30880,9,10,6,10,6,5,10,10
"E01022303",22871,31358,16854,17102,12616,18506,13233,"E",32843,19897,7,10,6,6,4,6,5,7
"E01022339",24540,18759,26601,30992,10208,20400,31227,"E",32843,30833,8,6,9,10,4,7,10,10
"E01022285",15747,30583,8458,8491,14927,15988,7610,"E",32843,10186,5,10,3,3,5,5,3,4
"E01022343",13763,29381,16854,19467,10981,17303,17059,"E",32843,15649,5,9,6,6,4,6,6,5
"E01022306",12740,22876,26601,30056,7341,18980,32444,"E",32843,30805,4,7,9,10,3,6,10,10
"E01022329",17117,26397,8458,4429,22107,14703,2282,"E",32843,6445,6,9,3,2,7,5,1,2
"E01022330",30426,32200,18356,16539,24013,15342,10491,"E",32843,26933,10,10,6,6,8,5,4,9
"E01026106",1078,22244,5730,24615,4815,7229,21072,"E",32843,7208,1,7,2,8,2,3,7,3
"E01026109",5744,4699,43,10675,27238,14646,9984,"E",32843,3296,2,2,1,4,9,5,4,2
"E01026113",1068,2723,5396,24240,1014,9741,18006,"E",32843,2637,1,1,2,8,1,3,6,1
"E01026047",7044,19570,5396,19872,8382,6635,22728,"E",32843,5995,3,6,2,7,3,3,7,2
"E01032986",32344,25903,5730,10659,32485,823,8176,"E",32843,26280,10,8,2,4,10,1,3,9
